date,close,high,low,open,status,volume
2021-05-13 08:55:00,123.6,123.75,123.56,123.7,ok,48378
2021-05-13 09:00:00,123.76,123.83,123.6,123.6,ok,53264
2021-05-13 09:05:00,123.8,123.85,123.74,123.76,ok,67109
2021-05-13 09:10:00,123.72,123.8,123.68,123.79,ok,48785
2021-05-13 09:15:00,123.91,123.91,123.68,123.72,ok,48378
2021-05-13 09:20:00,124.21,124.33,123.91,123.91,ok,143423
2021-05-13 09:25:00,124.59,124.77,124.2,124.2,ok,315159
2021-05-13 09:30:00,125.18,125.3,124.43,124.58,ok,5609863
2021-05-13 09:35:00,125.21,125.84,125.07,125.19,ok,3797046
2021-05-13 09:40:00,124.96,125.38,124.87,125.22,ok,2675110
2021-05-13 09:45:00,124.53,125.25,124.41,124.97,ok,2238358
2021-05-13 09:50:00,125.08,125.13,124.435,124.52,ok,2214093
2021-05-13 09:55:00,125.34,125.43,125.03,125.08,ok,1825627
2021-05-13 10:00:00,125.36,125.54,125.34,125.34,ok,1699152
2021-05-13 10:05:00,125.42,125.56,125.32,125.37,ok,1588600
2021-05-13 10:10:00,125.45,125.72,125.33,125.42,ok,1719585
2021-05-13 10:15:00,125.32,125.62,125.27,125.46,ok,1372325
2021-05-13 10:20:00,125.595,125.625,125.16,125.32,ok,1426600
2021-05-13 10:25:00,125.46,125.62,125.26,125.59,ok,1146279
2021-05-13 10:30:00,125.51,125.575,125.42,125.46,ok,966574
2021-05-13 10:35:00,125.62,125.62,125.3,125.5,ok,1392515
2021-05-13 10:40:00,125.59,125.73,125.45,125.62,ok,1442784
2021-05-13 10:45:00,125.85,125.97,125.56,125.59,ok,1547282
2021-05-13 10:50:00,126.0,126.05,125.79,125.85,ok,1557651
2021-05-13 10:55:00,126.02,126.15,125.93,126.005,ok,1473589
2021-05-13 11:00:00,125.82,126.105,125.78,126.015,ok,1609820
2021-05-13 11:05:00,125.43,125.84,125.4,125.82,ok,1428557
2021-05-13 11:10:00,125.33,125.57,125.24,125.44,ok,1212043
2021-05-13 11:15:00,125.4,125.45,125.265,125.34,ok,978925
2021-05-13 11:20:00,125.21,125.44,125.17,125.39,ok,1226622
2021-05-13 11:25:00,125.03,125.24,124.93,125.21,ok,1396293
2021-05-13 11:30:00,125.23,125.23,124.96,125.02,ok,993740
2021-05-13 11:35:00,125.39,125.46,125.135,125.22,ok,1003302
2021-05-13 11:40:00,124.69,125.385,124.68,125.38,ok,1118755
2021-05-13 11:45:00,124.86,124.87,124.59,124.7,ok,1083088
2021-05-13 11:50:00,124.91,125.05,124.78,124.86,ok,1057227
2021-05-13 11:55:00,124.88,124.98,124.71,124.91,ok,812754
2021-05-13 12:00:00,124.95,125.2,124.84,124.9,ok,1000497
2021-05-13 12:05:00,125.32,125.33,124.92,124.95,ok,735751
2021-05-13 12:10:00,125.46,125.545,125.33,125.33,ok,837323
2021-05-13 12:15:00,125.4,125.59,125.36,125.47,ok,879644
2021-05-13 12:20:00,125.3,125.54,125.27,125.4,ok,725438
2021-05-13 12:25:00,125.57,125.59,125.3,125.3,ok,810676
2021-05-13 12:30:00,125.68,125.75,125.57,125.57,ok,899731
2021-05-13 12:35:00,125.37,125.685,125.35,125.68,ok,801446
2021-05-13 12:40:00,125.37,125.44,125.29,125.38,ok,865509
2021-05-13 12:45:00,125.59,125.59,125.37,125.37,ok,720515
2021-05-13 12:50:00,125.25,125.62,125.14,125.59,ok,936276
2021-05-13 12:55:00,125.03,125.28,124.985,125.26,ok,1050895
2021-05-13 13:00:00,125.13,125.13,124.75,125.03,ok,1204005
2021-05-13 13:05:00,125.18,125.31,125.05,125.13,ok,789444
2021-05-13 13:10:00,125.24,125.3,125.07,125.18,ok,813309
2021-05-13 13:15:00,124.88,125.3,124.85,125.23,ok,723778
2021-05-13 13:20:00,124.71,124.95,124.65,124.88,ok,979759
2021-05-13 13:25:00,124.75,124.82,124.6,124.71,ok,893747
2021-05-13 13:30:00,124.42,124.83,124.4,124.75,ok,1071281
2021-05-13 13:35:00,124.4,124.49,124.26,124.41,ok,1288511
2021-05-13 13:40:00,124.52,124.53,124.31,124.41,ok,898419
2021-05-13 13:45:00,124.33,124.67,124.28,124.51,ok,931607
2021-05-13 13:50:00,124.75,124.77,124.32,124.34,ok,1072682
2021-05-13 13:55:00,124.69,124.77,124.59,124.75,ok,711469
2021-05-13 14:00:00,124.94,124.98,124.68,124.69,ok,1042467
2021-05-13 14:05:00,125.15,125.36,124.9,124.94,ok,1037031
2021-05-13 14:10:00,125.43,125.48,125.15,125.16,ok,966657
2021-05-13 14:15:00,125.28,125.47,125.26,125.44,ok,690405
2021-05-13 14:20:00,125.33,125.57,125.17,125.29,ok,971359
2021-05-13 14:25:00,125.41,125.44,125.2,125.32,ok,707871
2021-05-13 14:30:00,125.48,125.48,125.24,125.41,ok,704676
2021-05-13 14:35:00,125.56,125.67,125.41,125.48,ok,862385
2021-05-13 14:40:00,125.58,125.63,125.435,125.56,ok,799913
2021-05-13 14:45:00,125.57,125.65,125.43,125.58,ok,685628
2021-05-13 14:50:00,125.49,125.62,125.42,125.57,ok,599423
2021-05-13 14:55:00,125.39,125.53,125.33,125.5,ok,752394
2021-05-13 15:00:00,125.455,125.63,125.39,125.4,ok,704401
2021-05-13 15:05:00,125.63,125.66,125.455,125.455,ok,799881
